Phase,Section,Item/Field,Source/Evidence,Document_Type,Whitelist,Blacklist,Definition_Source
Phase 4,RULE 2,Cash at Bank; Term Deposits; Investment Accounts,Tier 1 only,Bank Statement; Term Deposit Statement; Bank Confirmation,Bank Statement; Term Deposit Statement; Bank Confirmation,Bank reconciliation (Tier 2); GL,phase_4_rules
Phase 4,RULE 3,Levy Arrears; Levies in Advance,Tier 2 primary,Levy Position Report; Owner Balance; Aged Levies,Levy Position Report; Owner Balance; Aged Levies,,phase_4_rules
Phase 4,RULE 4,Accrued; Creditors; Prepaid,Tier 2 primary,Breakdown report; Aged Creditors; Prepayment Schedule,Breakdown report; Aged Creditors; Prepayment Schedule,,phase_4_rules
Phase 4,RULE 5,Sundry Debtors; Utility Deposits; Tax; Retained Earnings; Other,Tier 3,General Ledger,General Ledger,,phase_4_rules
Phase 4,bs_amount,ALL line items,bs_extract ONLY,,,"GL; Levy Report; Bank Statement; any non-bs_extract",phase_4_assets
,,,,,,
Phase 5,Insurance,Insurance adequacy,Tier 1 only,Insurance Policy; Certificate of Currency; Valuation Report,Insurance Policy; Certificate; Valuation Report,Management summaries; GL; Notes,phase_5_compliance
Phase 5,GST,GST roll-forward,Tier 1/2,BAS lodgement; Bank Statement (T1); internal GST schedules (T2),,,phase_5_compliance
Phase 5,Income Tax,Income Tax,Tier 1 / Tier 3 fallback,ATO lodgement; Tax Return (T1); internal tax workpapers (T3),,,phase_5_compliance
Phase 5,GST,registered_for_gst,intake_summary (Step 0),,,Do not re-determine,phase_5_compliance
,,,,,,
Phase 6,Completion,issue_register,Aggregate from Phase 2-5,,,,phase_6_completion
Phase 6,Completion,boundary_disclosure,missing_critical_types; boundary_defined; bs_extract_warning,,,,phase_6_completion
,,,,,,
AI Attempt,Levy,Same as Phase 2,Tier 2 + bs_extract,,,,phase_ai_attempt
AI Attempt,BS,Same as Phase 4,R2=Tier 1; R3/4=Tier 2; R5=Tier 3,,,,phase_ai_attempt
AI Attempt,Expense,Same as Phase 3,Invoice/PAID=Tier 1; ACCRUED=Tier 2; Authority=Tier 2,,,,phase_ai_attempt
AI Attempt,Compliance,Same as Phase 5,Insurance=Tier 1; GST=Tier 1/2; Income Tax=Tier 1/3,,,,phase_ai_attempt
,,,,,,
20_EVIDENCE,BLACKLIST,When Tier 1/2 required,Financial Statement,,,PROHIBITED as Supporting Source,20_evidence_rules
20_EVIDENCE,BLACKLIST,When Tier 1/2 required,Notes to the Financial Statement,,,PROHIBITED as Supporting Source,20_evidence_rules
20_EVIDENCE,BLACKLIST,When Tier 1 required,General Ledger,,,PROHIBITED as Supporting Source,20_evidence_rules
20_EVIDENCE,NO ELEVATION,R2 Cash at Bank,Bank reconciliation,,,Cannot substitute for Bank Statement,20_evidence_rules
20_EVIDENCE,BLACKLIST,Phase 5 Insurance,Management summaries; GL; Notes,,,PROHIBITED,20_evidence_rules
20_EVIDENCE,BLACKLIST,Phase 2 Admin/Capital Receipts,GL; FS; Notes; Other (Tier 3),,,PROHIBITED,phase_2_rules
,,,,,,
Phase 2,Receipts Whitelist,Preferred,Cash Management Report,,,,"phase_2_rules"
Phase 2,Receipts Whitelist,Whitelist,"Cash Management Report; Levy Position Report; Levy Receipts Report; Levy Arrears Report; Levy Summary Report",,,,"phase_2_rules"
